ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,D0607G,RF-R-REL,0.30636,0.30078,0.30354,4
ROUGE-1,D0607G,LINEAR-R-MMR-SIMPLERED,0.30536,0.30217,0.30376,4
ROUGE-1,D0607G,RF-R-MMR-UNICOSRED,0.29727,0.29663,0.29695,4
ROUGE-1,D0607G,RF-R-MMR-SIMPLERED,0.30044,0.29960,0.30002,4
ROUGE-1,D0607G,DECISIONT-MMR-UNICOSRED,0.30928,0.30371,0.30647,4
ROUGE-1,D0607G,DECISIONT-REL,0.30744,0.30176,0.30457,4
ROUGE-1,D0607G,DECISIONT-MMR-SIMPLERED,0.31236,0.31275,0.31256,4
ROUGE-1,D407B,RF-R-MMR-UNICOSRED,0.30207,0.29297,0.29745,9
ROUGE-1,D407B,LINEAR-R-MMR-UNICOSRED,0.28833,0.27951,0.28385,9
ROUGE-1,D407B,LINEAR-R-MMR-SIMPLERED,0.28735,0.27865,0.28293,9
ROUGE-1,D407B,RF-R-REL,0.29790,0.29482,0.29635,9
ROUGE-1,D407B,DECISIONT-MMR-UNICOSRED,0.28035,0.27384,0.27706,9
ROUGE-1,D407B,LINEAR-R-REL,0.27254,0.26746,0.26998,9
ROUGE-1,D407B,DECISIONT-REL,0.28282,0.27866,0.28072,9
ROUGE-1,D407B,RF-R-MMR-SIMPLERED,0.33395,0.32003,0.32684,9
ROUGE-1,D407B,DECISIONT-MMR-SIMPLERED,0.29610,0.28621,0.29107,9
ROUGE-1,D393F,LINEAR-R-REL,0.26153,0.26568,0.26359,9
ROUGE-1,D393F,RF-R-MMR-UNICOSRED,0.25888,0.25577,0.25732,9
ROUGE-1,D393F,DECISIONT-REL,0.26692,0.26465,0.26578,9
ROUGE-1,D393F,DECISIONT-MMR-SIMPLERED,0.26071,0.26267,0.26169,9
ROUGE-1,D393F,LINEAR-R-MMR-UNICOSRED,0.27798,0.28112,0.27954,9
ROUGE-1,D393F,LINEAR-R-MMR-SIMPLERED,0.28627,0.28390,0.28508,9
ROUGE-1,D393F,RF-R-MMR-SIMPLERED,0.27622,0.27384,0.27503,9
ROUGE-1,D393F,DECISIONT-MMR-UNICOSRED,0.27788,0.27559,0.27673,9
ROUGE-1,D393F,RF-R-REL,0.28229,0.27562,0.27892,9
ROUGE-1,D324E,LINEAR-R-MMR-SIMPLERED,0.39516,0.39088,0.39301,9
ROUGE-1,D324E,LINEAR-R-MMR-UNICOSRED,0.39502,0.39200,0.39351,9
ROUGE-1,D324E,DECISIONT-REL,0.42618,0.41809,0.42210,9
ROUGE-1,D324E,RF-R-REL,0.40170,0.40188,0.40179,9
ROUGE-1,D324E,DECISIONT-MMR-SIMPLERED,0.35102,0.34612,0.34855,9
ROUGE-1,D324E,RF-R-MMR-UNICOSRED,0.38992,0.38513,0.38751,9
ROUGE-1,D324E,DECISIONT-MMR-UNICOSRED,0.35659,0.35141,0.35398,9
ROUGE-1,D324E,RF-R-MMR-SIMPLERED,0.39874,0.39174,0.39521,9
ROUGE-1,D324E,LINEAR-R-REL,0.42418,0.41965,0.42190,9
ROUGE-1,D0623E,LINEAR-R-MMR-SIMPLERED,0.33211,0.31202,0.32175,4
ROUGE-1,D0623E,RF-R-MMR-SIMPLERED,0.31721,0.29519,0.30581,4
ROUGE-1,D0623E,RF-R-REL,0.33333,0.30703,0.31964,4
ROUGE-1,D0623E,LINEAR-R-MMR-UNICOSRED,0.33381,0.30587,0.31923,4
ROUGE-1,D0623E,RF-R-MMR-UNICOSRED,0.31717,0.29748,0.30701,4
